date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:33	450/450	---MCZ	200	added ('OK')	text/plain	etag:cacheable:b6f5d72409f396b6e816ff53226d2e1a	https://huge-shoes.myshopify.com/robots.txt		(from )
00:40:34	189005/189005	---MCZ	200	added ('OK')	text/html	etag:cacheable:61ee204e37e4f60c71392cb05cd7b590	https://huge-shoes.myshopify.com/	C:/My%20Web%20Sites/shoe/huge-shoes.myshopify.com/index.html	(from )
00:40:35	344/344	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Feb%202021%2008:38:25%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/favicon.png?v=8574828837498841606	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/favicon0e88.png	(from https://huge-shoes.myshopify.com/)
00:40:35	6470/6470	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Feb%202021%2022:45:59%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/logo.png?v=15221948588626818280	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/logo4548.png	(from https://huge-shoes.myshopify.com/)
00:40:36	330624/330624	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Feb%202021%2014:04:03%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/timber.scss.css?v=10318800533533506530	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/timber.scss394a.css	(from https://huge-shoes.myshopify.com/)
00:40:37	27412/27412	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Feb%202020%2010:20:08%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/font-awesome.min.css?v=14053330696143262969	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/font-awesome.mina741.css	(from https://huge-shoes.myshopify.com/)
00:40:38	70788/70788	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Feb%202020%2010:20:32%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/material-design-iconic-font.min.css?v=899613035283334859	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/material-design-iconic-font.min2720.css	(from https://huge-shoes.myshopify.com/)
00:40:38	85277/85277	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Feb%202020%2010:20:31%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/material-design-iconic-font.css?v=14602595960306413344	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/material-design-iconic-font3e89.css	(from https://huge-shoes.myshopify.com/)
00:40:39	72259/72259	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Feb%202020%2010:19:52%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/animate.css?v=10750298082770158079	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/animated737.css	(from https://huge-shoes.myshopify.com/)
00:40:39	61135/61135	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Feb%202020%2011:22:08%20GMT	http://cdn.shopify.com/s/files/1/1811/9799/t/6/assets/style.css?v=6670121963367428315	C:/My%20Web%20Sites/shoe/cdn.shopify.com/s/files/1/1811/9799/t/6/assets/style448e.css	(from https://huge-shoes.myshopify.com/)
